"Pinehurst, NC",NC,434633.0
"Blackfoot, ID",ID,434000.0
"Fresno, CA",CA,433333.0
"Durham, NC",NC,433333.0
"Ann Arbor, MI",MI,433333.0
"Lebanon, NH",NH,432633.0
"Granbury, TX",TX,431300.0
"Panama City, FL",FL,430933.0
"Gainesville, GA",GA,429950.0
"Redding, CA",CA,429450.0
"Fernley, NV",NV,428167.0
"Mineral Wells, TX",TX,422499.0
"Albany, OR",OR,421667.0
"California, MD",MD,421667.0
"Ca-¦on City, CO",CO,421167.0
"Jefferson, GA",GA,419650.0
"Longview, WA",WA,416667.0
"Chico, CA",CA,416600.0
"Keene, NH",NH,416333.0
"Fayetteville, AR",AR,415000.0
"Tampa, FL",FL,414967.0
"Sebastian, FL",FL,413750.0
"Twin Falls, ID",ID,409983.0
"Laramie, WY",WY,409750.0
"Espa-¦ola, NM",NM,408617.0
"Lewiston, ID",ID,408333.0
"Shelbyville, TN",TN,408297.0
"Fallon, NV",NV,408167.0
"Moses Lake, WA",WA,407967.0
"Rapid City, SD",SD,406600.0
"Cheyenne, WY",WY,406333.0
"Ketchikan, AK",AK,405833.0
"Knoxville, TN",TN,405000.0
"Madison, WI",WI,405000.0
"Whitewater, WI",WI,403933.0
"Yakima, WA",WA,403000.0
"Cedar City, UT",UT,401533.0
"Charlotte, NC",NC,399967.0
"Jacksonville, FL",FL,399956.0
"The Villages, FL",FL,399900.0
"Anchorage, AK",AK,399000.0
United States,,397833.0
"Clearlake, CA",CA,397667.0
"Ontario, OR",OR,396333.0
"Tullahoma, TN",TN,394667.0
"Atlanta, GA",GA,394633.0
"Minneapolis, MN",MN,394600.0
"Morristown, TN",TN,392750.0
"Deltona, FL",FL,392333.0
"Aberdeen, WA",WA,390967.0
"Winchester, VA",VA,390667.0
"Albuquerque, NM",NM,389933.0
"Riverton, WY",WY,389000.0
"Visalia, CA",CA,388000.0
"Pocatello, ID",ID,387183.0
"Tucson, AZ",AZ,386666.0
"Trenton, NJ",NJ,386300.0
"Athens, TX",TX,385800.0
"Rockport, TX",TX,385217.0
"The Dalles, OR",OR,384633.0
"Lewisburg, TN",TN,383617.0
"Savannah, GA",GA,383150.0
"Chattanooga, TN",TN,382000.0
"Brainerd, MN",MN,381600.0
"Auburn, AL",AL,381500.0
"Athens, GA",GA,379900.0
"Brunswick, GA",GA,379900.0
"Red Bluff, CA",CA,379800.0
"Midland, TX",TX,379667.0
"Burley, ID",ID,377167.0
"Fort Morgan, CO",CO,377000.0
"Coos Bay, OR",OR,376667.0
"State College, PA",PA,375117.0
"Hanford, CA",CA,374967.0
"Bonham, TX",TX,374667.0
"Bakersfield, CA",CA,374633.0
"Alexandria, MN",MN,374100.0
"Milledgeville, GA",GA,373467.0
"Palm Bay, FL",FL,373333.0
"Tyler, TX",TX,373172.0
"Roseburg, OR",OR,371167.0
"Vernal, UT",UT,368000.0
"Georgetown, SC",SC,367662.0
"Norwich, CT",CT,367600.0
"Gillette, WY",WY,367000.0
"College Station, TX",TX,366807.0
"Fergus Falls, MN",MN,366650.0
